"accession_no","sequence_name","gene","sublineage","state","analyses"
"KM821635","duck_Khanhhoa_CVVI_30_2014","HA","2.3.2","SEA","Geo"
"KM821636","chicken_Khanhhoa_CVVI_31_2014","HA","2.3.2","SEA","Geo"
"KM821637","duck_Khanhhoa_CVVI_32_2014","HA","2.3.2","SEA","Geo"
"KM821638","duck_Khanhhoa_CVVI_33_2014","HA","2.3.2","SEA","Geo"
"KM821641","duck_Khanhhoa_CVVI_36_2014","HA","2.3.2","SEA","Geo"
"KM821643","duck_Khanhhoa_CVVI_38_2014","HA","2.3.2","SEA","Geo"
"KM821644","chicken_Khanhhoa_CVVI_39_2014","HA","2.3.2","SEA","Geo"
"KM821645","chicken_Khanhhoa_CVVI_40_2014","HA","2.3.2","SEA","Geo"
"KP097902","duck_Vietnam_NCVD_KA262_2012","HA","2.3.2","SEA","Geo"
"KP097903","chicken_Vietnam_NCVD_KA275_2012","HA","2.3.2","SEA","Geo"
"KP097905","duck_Vietnam_NCVD_KA294_2012","HA","2.3.2","SEA","Geo"
"KP097906","duck_Vietnam_NCVD_KA300_2012","HA","2.3.2","SEA","Geo"
"KP097908","duck_Vietnam_NCVD_KA310_2012","HA","2.3.2","SEA","Geo"
"KP097914","muscovy_duck_Vietnam_NCVD_KA395_2012","HA","2.3.2","SEA","Geo"
"KP097924","chicken_Vietnam_NCVD_A675_2011","HA","2.3.2","SEA","Geo"
"KP288316","quail_Nanchang_6631_2013","HA","2.3.2","CN","Geo"
"KP336289","turkey_India_10CA04_2012","HA","2.3.2","WA","Geo"
"KP336312","duck_Bhutan_01TR03_2013","HA","2.3.2","WA","Geo"
"KP336318","chicken_India_12CA01_2013","HA","2.3.2","WA","Geo"
"KP336332","crow_India_01CA16_2012","HA","2.3.2","WA","Geo"
"KP336337","crow_India_02CA03_2012","HA","2.3.2","WA","Geo"
"KP336361","chicken_India_01CL1196_2012","HA","2.3.2","WA","Geo"
"KP336368","northern_pintail_India_03OR320_2013","HA","2.3.2","WA","Geo"
"KP662567","chicken_Bhutan_01TR12_2012","HA","2.3.2","WA","Geo"
"KP674455","crow_India_01CA02_2014","HA","2.3.2","WA","Geo"
"KP715064","whooper_swan_Shanxi_17L_2015","HA","2.3.2","CN","Geo"
"KP762501","chicken_Jiangsu_927_2013","HA","2.3.2","CN","Geo"
"KP762509","chicken_Jiangsu_2477_2014","HA","2.3.2","CN","Geo"
"KP793723","chicken_Yuhang_1_2013","HA","2.3.2","CN","Geo"
"KP872899","quail_Vietnam_CVVI_50_2014","HA","2.3.2","SEA","Geo"
"KR732552","chicken_Vietnam_NCVD_421_2010","HA","2.3.2","SEA","Geo"
"KT285357","chicken_India_04CA01_2015","HA","2.3.2","WA","Geo"
"KT306815","chicken_Niger_15VIR2060_6_2015","HA","2.3.2","A","Geo"
"KT361926","duck_Bangladesh_21814_2014","HA","2.3.2","WA","Geo"
"KT361934","duck_Bangladesh_21469_2013","HA","2.3.2","WA","Geo"
"KT361942","duck_Bangladesh_21327_2013","HA","2.3.2","WA","Geo"
"KT361947","duck_Bangladesh_21908_2014","HA","2.3.2","WA","Geo"
"KT361949","duck_Bangladesh_21970_2014","HA","2.3.2","WA","Geo"
"KT361954","duck_Bangladesh_21269_2013","HA","2.3.2","WA","Geo"
"KT361967","duck_Bangladesh_21909_2014","HA","2.3.2","WA","Geo"
"KT361988","duck_Bangladesh_20399_2013","HA","2.3.2","WA","Geo"
"KT362022","duck_Bangladesh_21980_2014","HA","2.3.2","WA","Geo"
"KT717198","chicken_Bhutan_01TI02_2013","HA","2.3.2","WA","Geo"
"KT762431","duck_Hunan_S4020_2008","HA","2.3.2","CN","Geo"
"KT762439","chicken_Guangxi_S2039_2009","HA","2.3.2","CN","Geo"
"KT867328","duck_India_11TR03_2014","HA","2.3.2","WA","Geo"
"KT867368","chicken_India_04CA17_2015","HA","2.3.2","WA","Geo"
"KU042742","duck_Zhejiang_1220092_2014","HA","2.3.2","CN","Geo"
"KU042743","goose_Zhejiang_112071_2014","HA","2.3.2","CN","Geo"
"KU042744","goose_Zhejiang_727098_2014","HA","2.3.2","CN","Geo"
"KU042746","pigeon_Zhejiang_112089_2014","HA","2.3.2","CN","Geo"
"KU042747","pigeon_Zhejiang_112090_2014","HA","2.3.2","CN","Geo"
"KU057264","tiger_Yunnan_tig1508_2015","HA","2.3.2","CN","Geo"
"KU057280","tiger_Yunnan_tig1412_2014","HA","2.3.2","CN","Geo"
"KU143257","chicken_Wuhan_HAQL07_2014","HA","2.3.2","CN","Geo"
"KU143259","duck_Wenzhou_HAYXLG10_2015","HA","2.3.2","CN","Geo"
"KU143260","duck_Wenzhou_YJYF33_2015","HA","2.3.2","CN","Geo"
"KU311499","pheasant_TienGiang_0024_2013","HA","2.3.2","SEA","Geo"
"KU311530","domestic_duck_LongAn_0183_2013","HA","2.3.2","SEA","Geo"
"KU311546","domestic_duck_VinhLong_0185_2013","HA","2.3.2","SEA","Geo"
"KU311570","duck_CaMau_0238_2015","HA","2.3.2","SEA","Geo"
"KU971484","chicken_Burkina_Faso_15VIR1774_2_2015","HA","2.3.2","A","Geo"
"KU971492","domestic_bird_Burkina_Faso_15VIR1774_22_2015","HA","2.3.2","A","Geo"
"KU971508","domestic_bird_Burkina_Faso_15VIR1774_24_2015","HA","2.3.2","A","Geo"
"KU971548","chicken_Burkina_Faso_15VIR1774_38_2015","HA","2.3.2","A","Geo"
"KU971578","chicken_Ivory_Coast_15VIR2742_5_2015","HA","2.3.2","A","Geo"
"KU971593","chicken_Nigeria_15VIR339_1_2015","HA","2.3.2","A","Geo"
"KX247915","environment_Changsha_14_2014","HA","2.3.2","CN","Geo"
"KX247918","environment_Changsha_15_2014","HA","2.3.2","CN","Geo"
"KX247921","environment_Changsha_42_2014","HA","2.3.2","CN","Geo"
"KX247927","environment_Changsha_116_2014","HA","2.3.2","CN","Geo"
"KX247933","environment_Changsha_213_2014","HA","2.3.2","CN","Geo"
"KX247936","environment_Changsha_155_2014","HA","2.3.2","CN","Geo"
"KX513122","muscovy_duck_LS154_2013","HA","2.3.2","SEA","Geo"
"KX513128","duck_Vietnam_QT1479_2012","HA","2.3.2","SEA","Geo"
"KX513166","duck_Vietnam_LS101_2013","HA","2.3.2","SEA","Geo"
"KX513387","duck_Vietnam_QT1730_2013","HA","2.3.2","SEA","Geo"
"KX867865","mink_China_G_2015","HA","2.3.2","CN","Geo"
"KX867873","mink_China_XB_2015","HA","2.3.2","CN","Geo"
"KX960154","wild_bird_Jiangsu_H220_2015","HA","2.3.2","CN","Geo"
"KY170903","duck_Vietnam_R2_02_623_2_2013","HA","2.3.2","SEA","Geo"
"KY170967","quail_Vietnam_NCVD_3794_2013","HA","2.3.2","SEA","Geo"
"KY171079","chicken_Vietnam_NCVD14_A381_2014","HA","2.3.2","SEA","Geo"
"KY171087","chicken_Vietnam_NCVD14_A383_2014","HA","2.3.2","SEA","Geo"
"KY171103","duck_Vietnam_NCVD14_A387_2014","HA","2.3.2","SEA","Geo"
"KY171111","duck_Vietnam_NCVD14_A389_2014","HA","2.3.2","SEA","Geo"
"KY171119","chicken_Vietnam_NCVD14_A390_2014","HA","2.3.2","SEA","Geo"
"KY171127","duck_Vietnam_NCVD14_A447_2014","HA","2.3.2","SEA","Geo"
"KY171135","duck_Vietnam_NCVD14_A451_2014","HA","2.3.2","SEA","Geo"
"KY171159","chicken_Vietnam_NCVD14_A461_2014","HA","2.3.2","SEA","Geo"
"KY171183","duck_Vietnam_NCVD14_A490_2014","HA","2.3.2","SEA","Geo"
"KY171207","duck_Vietnam_NCVD14_A499_2014","HA","2.3.2","SEA","Geo"
"KY171215","chicken_Vietnam_NCVD14_A501_2014","HA","2.3.2","SEA","Geo"
"KY171231","muscovy_duck_Vietnam_NCVD_15A11_2015","HA","2.3.2","SEA","Geo"
"KY171278","duck_Vietnam_R2_5_1428_17_2013","HA","2.3.2","SEA","Geo"
"KY171334","duck_Vietnam_NCVD_3190_2013","HA","2.3.2","SEA","Geo"
"KY171342","duck_Vietnam_NCVD_1648_2012","HA","2.3.2","SEA","Geo"
"KY171350","chicken_Vietnam_NCVD_1982_2012","HA","2.3.2","SEA","Geo"
"KY171374","muscovy_duck_Vietnam_NCVD_2074_2012","HA","2.3.2","SEA","Geo"
"KY171390","chicken_Vietnam_NCVD_2693_2013","HA","2.3.2","SEA","Geo"
"KY171422","duck_Vietnam_NCVD_2726_2013","HA","2.3.2","SEA","Geo"
"KY171438","duck_Vietnam_NCVD_2736_2013","HA","2.3.2","SEA","Geo"
"KY171446","duck_Vietnam_NCVD_2709_2013","HA","2.3.2","SEA","Geo"
"KY171454","duck_Vietnam_NCVD_2805_2013","HA","2.3.2","SEA","Geo"
"KY171462","Swiftlet_Vietnam_NCVD_3000_2013","HA","2.3.2","SEA","Geo"
"KY171478","chicken_Vietnam_NCVD_2749_2013","HA","2.3.2","SEA","Geo"
"KY171519","duck_Vietnam_NCVD_2848_2013","HA","2.3.2","SEA","Geo"
"KY171536","duck_Vietnam_NCVD_0004_2013","HA","2.3.2","SEA","Geo"
"KY171560","duck_Vietnam_NCVD_0145_2012","HA","2.3.2","SEA","Geo"
"KY171736","duck_Vietnam_NCVD_15A60_2015","HA","2.3.2","SEA","Geo"
"KY415617","duck_Hubei_ZYSYF2_2016","HA","2.3.2","CN","Geo"
"KY614816","duck_Sukoharjo_BBVW_1428_9_2012","HA","2.3.2","SEA","Geo"
"KY614824","chicken_Semarang_04141225_07_2014","HA","2.3.2","SEA","Geo"
"KY614832","chicken_Sleman_04141596_2014","HA","2.3.2","SEA","Geo"
"KY614848","chicken_Lampung_Utara_03160218_2016","HA","2.3.2","SEA","Geo"
"KY614983","duck_Sidrap_07160336_3_2016","HA","2.3.2","SEA","Geo"
"KY614991","chicken_Denpasar_06160095_2016","HA","2.3.2","SEA","Geo"
"KY629433","chicken_Bangladesh_22478_2014","HA","2.3.2","WA","Geo"
"KY629435","chicken_Bangladesh_23974_2014","HA","2.3.2","WA","Geo"
"KY629472","duck_Bangladesh_23660_2014","HA","2.3.2","WA","Geo"
"KY629498","duck_Bangladesh_23163_2014","HA","2.3.2","WA","Geo"
"KY629503","duck_Bangladesh_22991_2014","HA","2.3.2","WA","Geo"
"KY629524","duck_Bangladesh_22996_2014","HA","2.3.2","WA","Geo"
"KY629543","chicken_Bangladesh_23414_2014","HA","2.3.2","WA","Geo"
"KY635477","duck_Bangladesh_24483_2015","HA","2.3.2","WA","Geo"
"KY635518","duck_Bangladesh_28389_2016","HA","2.3.2","WA","Geo"
"KY635533","goose_Bangladesh_25169_2015","HA","2.3.2","WA","Geo"
"KY635586","duck_Bangladesh_25845_2015","HA","2.3.2","WA","Geo"
"KY635670","duck_Bangladesh_24482_2015","HA","2.3.2","WA","Geo"
"KY635687","duck_Bangladesh_28250_2016","HA","2.3.2","WA","Geo"
"KY635697","duck_Bangladesh_27820_2015","HA","2.3.2","WA","Geo"
"KY635754","duck_Bangladesh_26251_2015","HA","2.3.2","WA","Geo"
"KY635796","duck_Bangladesh_27892_2015","HA","2.3.2","WA","Geo"
"KY635814","duck_Bangladesh_25887_2015","HA","2.3.2","WA","Geo"
"KY750631","chicken_Vietnam_RTD1302_2014","HA","2.3.2","SEA","Geo"
"LC010696","duck_Vietnam_LBM360c1_4_1_2013","HA","2.3.2","SEA","Geo"
"LC010752","muscovy_duck_Long_An_87_2014","HA","2.3.2","SEA","Geo"
"LC167502","duck_Vietnam_HU3_386_2015","HA","2.3.2","SEA","Geo"
"LC167510","duck_Vietnam_HU3_408_2015","HA","2.3.2","SEA","Geo"
"LC167686","environment_Vietnam_HU3_970_2015","HA","2.3.2","SEA","Geo"
"LC194847","Muscovy_duck_Vietnam_HU3_353_2015","HA","2.3.2","SEA","Geo"
"LC208484","chicken_Japan_AQ_HE79_2015","HA","2.3.2","NA","Geo"
"MF116309","duck_China_E26_2012","HA","2.3.2","CN","Geo"
"MF116310","goose_China_E43_2012","HA","2.3.2","CN","Geo"
"MF116311","duck_China_E53_2012","HA","2.3.2","CN","Geo"
"MF620119","wildfowl_Shandong_SD03_2015","HA","2.3.2","CN","Geo"
"MG042111","duck_Bangladesh_31097_2016","HA","2.3.2","WA","Geo"
"MG042131","duck_Bangladesh_31022_2016","HA","2.3.2","WA","Geo"
"MG042192","duck_Bangladesh_30817_2016","HA","2.3.2","WA","Geo"
"MG042249","duck_Bangladesh_30885_2016","HA","2.3.2","WA","Geo"
"MG042329","duck_Bangladesh_31549_2016","HA","2.3.2","WA","Geo"
"MG042382","duck_Bangladesh_30057_2016","HA","2.3.2","WA","Geo"
"MG042463","duck_Bangladesh_30160_2016","HA","2.3.2","WA","Geo"
"AB474081","chicken_Pyigyitagon_204_2006","HA","7","SEA","Geo"
"DQ343150","chicken_Hebei_326_2005","HA","7","CN","Geo"
"DQ914814","chicken_Shanxi_2_2006","HA","7","CN","Geo"
"DQ992794","goose_Yunnan_3315_2005","HA","7","CN","Geo"
"DQ992801","duck_Yunnan_5133_2005","HA","7","CN","Geo"
"DQ992805","goose_Yunnan_5539_2005","HA","7","CN","Geo"
"EF587277","Beijing_01_2003","HA","7","CN","Geo"
"EPI553223","Chicken_Shandong_J02_2009","HA","7","CN","Geo"
"EPI553276","Chicken_Shandong_J03_2009","HA","7","CN","Geo"
"EPI553284","Chicken_Shandong_J04_2009","HA","7","CN","Geo"
"EPI553292","Chicken_Shandong_J05_2009","HA","7","CN","Geo"
"EPI593013","environment_Guizhou_00320_2013","HA","7","CN","Geo"
"EPI594523","environment_Hubei_950_2013","HA","7","CN","Geo"
"EPI645959","environment_Jiangsu_WX1761_2014","HA","7","CN","Geo"
"EPI672774","wildfowl_China_472_2014","HA","7","CN","Geo"
"EPI750017","Environment_Hunan_18328_2014","HA","7","CN","Geo"
"EPI284474","chicken_Vietnam_NCVD_04_2008","HA","7","SEA","Geo"
"EPI284476","chicken_Vietnam_NCVD_093_2008","HA","7","SEA","Geo"
"EU195408","mallard_Huadong_hn_2005","HA","7","CN","Geo"
"EU243126","chicken_Hebei_706_2005","HA","7","CN","Geo"
"EU243133","chicken_Hebei_102_2005","HA","7","CN","Geo"
"EU243146","chicken_Hebei_126_2005","HA","7","CN","Geo"
"EU430496","domestic_green_winged_teal_Hunan_67_2005","HA","7","CN","Geo"
"GU182222","environment_Hunan_1_35_2007","HA","7","CN","Geo"
"HM172076","chicken_Ningxia_24_2006","HA","7","CN","Geo"
"HM172077","chicken_Liaoning_11_2006","HA","7","CN","Geo"
"HM172078","chicken_Liaoning_1_2007","HA","7","CN","Geo"
"HM172080","chicken_Henan_7_2006","HA","7","CN","Geo"
"HM172081","chicken_Hebei_8_2009","HA","7","CN","Geo"
"HM172091","chicken_Xinjiang_27_2006","HA","7","CN","Geo"
"HM172092","chicken_Jiangsu_18_2008","HA","7","CN","Geo"
"HM172094","chicken_Xinjiang_53_2005","HA","7","CN","Geo"
"HM172099","chicken_Xinjiang_67_2005","HA","7","CN","Geo"
"HM172103","chicken_Xinjiang_78_2005","HA","7","CN","Geo"
"HM172106","chicken_Xinjiang_68_2005","HA","7","CN","Geo"
"HM172108","chicken_Xinjiang_16_2005","HA","7","CN","Geo"
"HM172111","chicken_Xinjiang_54_2005","HA","7","CN","Geo"
"HM172113","chicken_Shanxi_10_2006","HA","7","CN","Geo"
"HQ677023","chicken_Huadong_4_2008","HA","7","CN","Geo"
"JQ041399","duck_Hebei_0908_2009","HA","7","CN","Geo"
"JQ041400","chicken_Hebei_1102_2010","HA","7","CN","Geo"
"JQ277225","chicken_Sheny_0606_2008","HA","7","CN","Geo"
"JX534549","wild_duck_Shandong_1_2011","HA","7","CN","Geo"
"KC683522","swine_Jiangsu_1_2008","HA","7","CN","Geo"
"KF150634","chicken_Jiangsu_1001_2013","HA","7","CN","Geo"
"KJ174937","chicken_Henan_Q7_2013","HA","7","CN","Geo"
"KJ719459","chicken_Hebei_1102_M2010","HA","7","CN","Geo"
"KP000007","chicken_Chiping_0321_2014","HA","7","CN","Geo"
"KP000015","chicken_Laiwu_0313_2014","HA","7","CN","Geo"
"KP000023","chicken_Shijiazhuang_1209_2013","HA","7","CN","Geo"
"KP097921","chicken_Vietnam_NCVD_03_08_2008","HA","7","SEA","Geo"
"KR732465","chicken_Vietnam_NCVD_03_2008","HA","7","SEA","Geo"
"KU143254","chicken_Wenzhou_HAYXLG01_2015","HA","7","CN","Geo"
"KX160164","chicken_Hebei_3_2013","HA","7","CN","Geo"
"KX160179","chicken_Heilongjiang_S7_2014","HA","7","CN","Geo"
"KX160186","chicken_Liaoning_S4092_2011","HA","7","CN","Geo"
"KX160193","chicken_Ningxia_2_2012","HA","7","CN","Geo"
"KY171494","chicken_Vietnam_NCVD_1096_2013","HA","7","SEA","Geo"
"MF116312","chicken_China_E93_2012","HA","7","CN","Geo"
"AB212054","Hong_Kong_213_2003","HA",".",".","All_H5N1"
"AB517661","house_crow_Hong_Kong_7677_2008","HA",".",".","All_H5N1"
"AB517663","grey_heron_Hong_Kong_779_2009","HA",".",".","All_H5N1"
"AB521159","peregrine_falcon_Hong_Kong_810_2009","HA",".",".","All_H5N1"
"AB521161","large_billed_crow_Hong_Kong_885_2009","HA",".",".","All_H5N1"
"AB521163","crested_myna_Hong_Kong_1178_2009","HA",".",".","All_H5N1"
"AB557629","feral_pigeon_Hong_Kong_3409_2009","HA",".",".","All_H5N1"
"AB557633","oriental_magpie_robin_Hong_Kong_9298_2009","HA",".",".","All_H5N1"
"AF082034","Chicken_Hong_Kong_728_97","HA",".",".","All_H5N1"
"AF082036","chicken_Hong_Kong_915_97","HA",".",".","All_H5N1"
"AF084279","Hong_Kong_481_97","HA",".",".","All_H5N1"
"AF102674","Hong_Kong_538_97","HA",".",".","All_H5N1"
"AF102676","HongKong_97_98","HA",".",".","All_H5N1"
"AF144305","goose_Guangdong_1_1996","HA",".",".","All_H5N1"
"AF364334","goose_Guangdong_3_1997","HA",".",".","All_H5N1"
"AF398417","Goose_Hong_Kong_385_3_2000","HA",".",".","All_H5N1"
"AF468837","Duck_Anyang_AVL_1_2001","HA",".",".","All_H5N1"
"AF509016","Chicken_Hong_Kong_FY77_01","HA",".",".","All_H5N1"
"AF509018","Chicken_Hong_Kong_YU563_01","HA",".",".","All_H5N1"
"AF509036","Goose_Hong_Kong_76_1_01","HA",".",".","All_H5N1"
"AF509037","Goose_Hong_Kong_ww100_01","HA",".",".","All_H5N1"
"AF509038","Duck_Hong_Kong_573_4_01","HA",".",".","All_H5N1"
"AY059479","Duck_Hong_Kong_ww487_2000","HA",".",".","All_H5N1"
"AY075027","Chicken_Hong_Kong_317_5_2001","HA",".",".","All_H5N1"
"AY518362","duck_China_E319_2_03","HA",".",".","All_H5N1"
"AY575875","Ck_HK_31_4_02","HA",".",".","All_H5N1"
"AY575876","Ck_HK_61_9_02","HA",".",".","All_H5N1"
"AY585357","duck_Fujian_01_2002","HA",".",".","All_H5N1"
"AY585358","duck_Fujian_13_2002","HA",".",".","All_H5N1"
"AY585359","duck_Fujian_19_2000","HA",".",".","All_H5N1"
"AY585360","duck_Guangdong_01_2001","HA",".",".","All_H5N1"
"AY585361","duck_Guangdong_12_2000","HA",".",".","All_H5N1"
"AY585364","duck_Guangxi_22_2001","HA",".",".","All_H5N1"
"AY585365","duck_Guangxi_35_2001","HA",".",".","All_H5N1"
"AY585366","duck_Guangxi_53_2002","HA",".",".","All_H5N1"
"AY585367","duck_Shanghai_13_2001","HA",".",".","All_H5N1"
"AY585368","duck_Shanghai_35_2002","HA",".",".","All_H5N1"
"AY585370","duck_Shanghai_08_2001","HA",".",".","All_H5N1"
"AY585371","duck_Zhejiang_11_2000","HA",".",".","All_H5N1"
"AY585372","duck_Fujian_17_2001","HA",".",".","All_H5N1"
"AY585373","duck_Guangdong_07_2000","HA",".",".","All_H5N1"
"AY585374","duck_Guangdong_40_2000","HA",".",".","All_H5N1"
"AY585375","duck_Guangxi_50_2001","HA",".",".","All_H5N1"
"AY585376","duck_Shanghai_38_2001","HA",".",".","All_H5N1"
"AY585377","duck_Zhejiang_52_2000","HA",".",".","All_H5N1"
"AY609312","chicken_Guangdong_174_04","HA",".",".","All_H5N1"
"AY623430","chicken_Yichang_lung_1_04","HA",".",".","All_H5N1"
"AY651346","Ck_HK_31_2_2002","HA",".",".","All_H5N1"
"AY651347","Ck_HK_37_4_2002","HA",".",".","All_H5N1"
"AY651350","Ck_HK_3176_3_2002","HA",".",".","All_H5N1"
"AY651353","Ck_HK_2133_1_2003","HA",".",".","All_H5N1"
"AY651354","Ck_HK_NT93_2003","HA",".",".","All_H5N1"
"AY651355","Ck_HK_WF157_2003","HA",".",".","All_H5N1"
"AY651357","Ck_HK_FY157_2003","HA",".",".","All_H5N1"
"AY651358","Ck_HK_YU324_2003","HA",".",".","All_H5N1"
"AY651359","grey_heron_HK_861_1_2002","HA",".",".","All_H5N1"
"AY651362","peregrine_falcon_HK_D0028_2004","HA",".",".","All_H5N1"
"AY651363","Dk_HN_5806_2003","HA",".",".","All_H5N1"
"AY651366","Ph_ST_44_2004","HA",".",".","All_H5N1"
"AY651367","Dk_ST_4003_2003","HA",".",".","All_H5N1"
"AY651373","black_headed_gull_HK_12_1_2003","HA",".",".","All_H5N1"
"AY653200","chicken_Jilin_9_2004","HA",".",".","All_H5N1"
"AY676033","duck_Hong_Kong_821_2002","HA",".",".","All_H5N1"
"AY737296","chicken_Guangdong_178_04","HA",".",".","All_H5N1"
"AY737304","duck_Guangdong_173_04","HA",".",".","All_H5N1"
"AY741217","tree_sparrow_Henan_2_2004","HA",".",".","All_H5N1"
"AY741221","tree_sparrow_Henan_4_2004","HA",".",".","All_H5N1"
"AY747609","swine_Fujian_1_2003","HA",".",".","All_H5N1"
"AY747617","swine_Fujian_F1_2001","HA",".",".","All_H5N1"
"AY854190","duck_Shandong_093_2004","HA",".",".","All_H5N1"
"AY950231","chicken_Henan_210_2004","HA",".",".","All_H5N1"
"AY950232","chicken_Henan_12_2004","HA",".",".","All_H5N1"
"AY950235","wild_duck_Guangdong_314_2004","HA",".",".","All_H5N1"
"CY028925","chicken_Shantou_904_2001","HA",".",".","All_H5N1"
"CY028926","duck_Shantou_1101_2001","HA",".",".","All_H5N1"
"CY028927","duck_Shantou_1437_2001","HA",".",".","All_H5N1"
"CY028929","chicken_Shantou_2535_2001","HA",".",".","All_H5N1"
"CY028931","duck_Shantou_4407_2001","HA",".",".","All_H5N1"
"CY028933","duck_Shantou_4912_2001","HA",".",".","All_H5N1"
"CY028934","quail_Shantou_5164_2001","HA",".",".","All_H5N1"
"CY028935","goose_Shantou_5456_2001","HA",".",".","All_H5N1"
"CY028936","duck_Shantou_5526_2001","HA",".",".","All_H5N1"
"CY028941","goose_Shantou_157_2002","HA",".",".","All_H5N1"
"CY028943","duck_Shantou_700_2002","HA",".",".","All_H5N1"
"CY028944","goose_Shantou_753_2002","HA",".",".","All_H5N1"
"CY028945","partridge_Shantou_1075_2002","HA",".",".","All_H5N1"
"CY028946","quail_Shantou_3054_2002","HA",".",".","All_H5N1"
"CY028948","quail_Shantou_3846_2002","HA",".",".","All_H5N1"
"CY028951","silky_chicken_Shantou_4071_2002","HA",".",".","All_H5N1"
"CY028952","pheasant_Shantou_4567_2002","HA",".",".","All_H5N1"
"CY028953","pheasant_Shantou_40_2003","HA",".",".","All_H5N1"
"CY028954","chicken_Shantou_133_2003","HA",".",".","All_H5N1"
"CY028957","partridge_Shantou_2886_2003","HA",".",".","All_H5N1"
"CY028959","chicken_Shantou_3744_2003","HA",".",".","All_H5N1"
"CY028960","chukar_Shantou_4690_2003","HA",".",".","All_H5N1"
"CY028961","silky_chicken_Shantou_475_2004","HA",".",".","All_H5N1"
"CY028962","chicken_Hunan_23_2002","HA",".",".","All_H5N1"
"CY028963","duck_Hunan_795_2002","HA",".",".","All_H5N1"
"CY028964","duck_Hunan_1340_2002","HA",".",".","All_H5N1"
"CY028965","duck_Hunan_300_2003","HA",".",".","All_H5N1"
"CY028967","duck_Hunan_782_2003","HA",".",".","All_H5N1"
"CY028968","duck_Hunan_1386_2003","HA",".",".","All_H5N1"
"CY028970","duck_Hunan_733_2004","HA",".",".","All_H5N1"
"CY028971","duck_Yunnan_862_2002","HA",".",".","All_H5N1"
"CY028972","duck_Yunnan_971_2002","HA",".",".","All_H5N1"
"CY028973","chicken_Yunnan_1215_2002","HA",".",".","All_H5N1"
"CY028975","duck_Yunnan_215_2003","HA",".",".","All_H5N1"
"CY028976","chicken_Yunnan_564_2003","HA",".",".","All_H5N1"
"CY028977","duck_Yunnan_662_2003","HA",".",".","All_H5N1"
"CY028978","chicken_Yunnan_1083_2003","HA",".",".","All_H5N1"
"CY028981","chicken_Yunnan_1628_2003","HA",".",".","All_H5N1"
"CY028985","duck_Yunnan_5169_2003","HA",".",".","All_H5N1"
"CY028986","chicken_Yunnan_5686_2003","HA",".",".","All_H5N1"
"CY028987","duck_Yunnan_5948_2003","HA",".",".","All_H5N1"
"CY028988","duck_Yunnan_6080_2003","HA",".",".","All_H5N1"
"CY028990","chicken_Yunnan_6797_2003","HA",".",".","All_H5N1"
"CY028992","chicken_Yunnan_6957_2003","HA",".",".","All_H5N1"
"CY028993","chicken_Yunnan_207_2004","HA",".",".","All_H5N1"
"CY028994","duck_Yunnan_426_2004","HA",".",".","All_H5N1"
"CY030889","duck_Yunnan_5310_2006","HA",".",".","All_H5N1"
"CY036045","peregrine_falcon_Hong_Kong_5211_2006","HA",".",".","All_H5N1"
"CY036053","scaly_breasted_munia_Hong_Kong_45_2007","HA",".",".","All_H5N1"
"CY036093","peregrine_falcon_Hong_Kong_1143_2007","HA",".",".","All_H5N1"
"CY036133","scaly_breasted_munia_Hong_Kong_2433_2007","HA",".",".","All_H5N1"
"CY036157","long_tailed_shrike_Hong_Kong_2762_2007","HA",".",".","All_H5N1"
"CY036165","red_billed_starling_Hong_Kong_4925_2007","HA",".",".","All_H5N1"
"CY036205","little_egret_Hong_Kong_8863_2007","HA",".",".","All_H5N1"
"CY036213","grey_heron_Hong_Kong_3088_2007","HA",".",".","All_H5N1"
"CY036221","common_buzzard_Hong_Kong_9213_2007","HA",".",".","All_H5N1"
"CY036229","black_crowned_night_heron_Hong_Kong_659_2008","HA",".",".","All_H5N1"
"CY036237","great_egret_Hong_Kong_807_2008","HA",".",".","All_H5N1"
"CY036245","grey_heron_Hong_Kong_1046_2008","HA",".",".","All_H5N1"
"CY036253","magpie_robin_Hong_Kong_1097_2008","HA",".",".","All_H5N1"
"CY036261","magpie_robin_Hong_Kong_1897_2008","HA",".",".","All_H5N1"
"CY036269","peregrine_falcon_Hong_Kong_2142_2008","HA",".",".","All_H5N1"
"CY063318","great_crested_grebe_Qinghai_1_2009","HA",".",".","All_H5N1"
"CY098648","Sichuan_3_2006","HA",".",".","All_H5N1"
"CY098655","Guangdong_2_2006","HA",".",".","All_H5N1"
"CY098668","Anhui_1_2006","HA",".",".","All_H5N1"
"CY098681","Anhui_1_2007","HA",".",".","All_H5N1"
"CY098688","Hunan_1_2008","HA",".",".","All_H5N1"
"CY098702","Guangdong_1_2008","HA",".",".","All_H5N1"
"CY098709","Beijing_1_2009","HA",".",".","All_H5N1"
"CY098716","Shandong_1_2009","HA",".",".","All_H5N1"
"CY098730","Xinjiang_1_2009","HA",".",".","All_H5N1"
"CY098737","Guizhou_1_2009","HA",".",".","All_H5N1"
"CY098744","Guangxi_1_2009","HA",".",".","All_H5N1"
"CY098853","water_Hunan_7_2009","HA",".",".","All_H5N1"
"CY146692","duck_Hunan_S4150_2011","HA",".",".","All_H5N1"
"CY146700","duck_Hunan_S4220_2011","HA",".",".","All_H5N1"
"CY146708","duck_Hunan_S4234_2011","HA",".",".","All_H5N1"
